North Yankton
3960.535, 3701.115
3908.815, 3701.115
3908.815, 3657.505
3816.745, 3657.505
3816.745, 3690.775
3788.395, 3690.775
3788.395, 3721.145
3766.535, 3721.145
3766.535, 3849.765
3825.475, 3849.765
3825.475, 3900.105
3851.705, 3900.105
3851.705, 3939.275
3896.325, 3939.275
3896.325, 3977.995
3945.505, 3977.995
3945.505, 4036.525
3988.235, 4036.525
3988.235, 4163.485
3894.875, 4163.485
3894.875, 4286.485
3886.425, 4286.485
3886.425, 4369.075
3979.535, 4369.075
3979.535, 4428.885
3852.605, 4428.885
3852.605, 4456.345
3876.105, 4456.345
3876.105, 4468.465
3852.605, 4468.465
3852.605, 4485.565
3838.625, 4485.565
3838.625, 4541.355
3804.635, 4541.355
3804.635, 4655.175
3687.135, 4655.175
3687.135, 4778.175
3469.035, 4778.175
3469.035, 5085.435
2758.635, 5085.435
2758.635, 5138.805
2561.785, 5138.805
2561.785, 4778.165
2632.575, 4778.165
2632.575, 4417.525
2734.715, 4417.525
2734.715, 4036.525
2807.755, 4036.525
2807.755, 3554.055
2693.045, 3554.055
2693.045, 3294.455
2827.905, 3294.455
2827.905, 3039.725

Los Santos International Airport
-756.405, -3556.385
-756.405, -2754.955
-460.881, -2754.955
-460.881, -2135.075
-756.405, -2135.075
-756.405, -1968.595
-1972.455, -1968.595
-1972.455, -3556.385

Palomino Highlands
1767.785, -2718.485
1929.425, -2718.485
1929.425, -2650.205
1968.195, -2650.205
1968.195, -2611.735
2007.205, -2611.735
2007.205, -2596.845
2023.525, -2596.845
2023.525, -2547.185
2067.175, -2547.185
2067.175, -2510.785
2113.225, -2510.785
2113.225, -2411.925
2217.985, -2411.925
2217.985, -2333.495
2233.255, -2333.495
2233.255, -2269.415
2197.855, -2269.415
2197.855, -2230.715
2230.445, -2230.715
2230.445, -2214.055
2245.055, -2214.055
2245.055, -2186.175
2254.375, -2186.175
2254.375, -2158.295
2262.705, -2158.295
2262.705, -2124.275
2413.355, -2124.275
2413.355, -2141.555
2429.165, -2141.555
2429.165, -2152.835
2455.735, -2152.835
2455.735, -2166.285
2487.155, -2166.285
2487.155, -2156.275
2521.145, -2156.275
2521.145, -2144.265
2535.635, -2144.265
2535.635, -2128.725
2587.215, -2128.725
2587.215, -2116.125
2619.705, -2116.125
2619.705, -1826.365
2635.985, -1826.365
2635.985, -1817.675
2615.715, -1817.675
2615.715, -1748.665
2635.985, -1748.665
2635.985, -1733.445
2656.965, -1733.445
2656.965, -1705.095
2686.905, -1705.095
2686.905, -1606.525
2556.405, -1606.525
2556.405, -1555.965
2513.405, -1555.965
2513.405, -1174.025
2620.485, -1174.025
2620.485, -1113.355
2643.085, -1113.355
2643.085, -1083.175
2658.985, -1083.175
2658.985, -1032.125
2687.605, -1032.125
2687.605, -905.231
2725.505, -905.231
2725.505, -885.926
2781.605, -885.926
2781.605, -836.072
2804.815, -836.072
2804.815, -543.643
2894.235, -543.643
2894.235, -446.452
2916.935, -446.452
2916.935, -152.787
2880.935, -152.787
2880.935, -80.387
2818.345, -80.387
2818.345, 4.985
2693.545, 4.985
2693.545, -446.442
2106.225, -446.442
2106.225, -560.568
1660.005, -560.568
1660.005, -812.039
1485.915, -812.039
1485.915, -1152.855
1660.015, -1152.855
1660.015, -969.45
1958.785, -969.45
1958.785, -1555.965
1767.785, -1555.965

Mount Josiah
-1347.165, 2794.625
-1241.155, 2794.625
-1241.155, 2880.305
-1098.125, 2880.305
-1098.125, 2914.215
-779.492, 2914.215
-779.492, 3008.035
-475.695, 3008.035
-475.695, 3151.335
-85.268, 3151.335
-85.268, 3537.375
19.075, 3537.375
19.075, 3620.715
-300.173, 3620.715
-300.173, 4019.955
-1867.395, 4019.955
-1867.395, 4036.535
-2293.415, 4036.535
-2293.415, 3545.935
-1347.165, 3545.935

Alamo Sea
-85.268, 3842.295
242.123, 3842.295
242.123, 3588.805
1295.665, 3588.805
1295.665, 4012.495
2145.085, 4012.495
2145.085, 3819.495
2413.985, 3819.495
2413.985, 4543.625
1605.265, 4543.625
1605.265, 4322.505
-300.183, 4322.505
-300.183, 3620.705
-85.268, 3620.705

Fort Zancudo
-1241.155, 2551.405
-1241.155, 2628.835
-1347.155, 2628.835
-1347.155, 3545.945
-3099.245, 3545.945
-3099.245, 2812.665
-2381.145, 2812.665
-2381.145, 2628.825
-1428.795, 2628.825
-1428.795, 2592.415
-1379.635, 2592.415
-1379.635, 2562.685
-1347.165, 2562.685
-1347.165, 2551.405

Mount Gordo
2758.625, 5138.795
2758.625, 5085.425
3354.345, 5085.425
3354.345, 5218.115
3278.165, 5218.115
3278.165, 5232.965
3238.295, 5232.965
3238.295, 5250.335
3198.425, 5250.335
3198.425, 5310.335
3181.255, 5310.335
3181.255, 5367.905
3238.295, 5367.905
3238.295, 5390.535
3278.165, 5390.535
3278.165, 5404.715
3354.345, 5404.715
3354.345, 5456.705
3417.225, 5456.705
3417.225, 5550.345
3354.345, 5550.345
3354.345, 5554.735
3353.535, 5554.735
3353.535, 6121.085
3239.535, 6121.085
3239.535, 6320.765
3170.845, 6320.765
3170.845, 6342.575
3020.485, 6342.575
3020.485, 6359.015
2865.785, 6359.015
2865.785, 6439.455
2798.015, 6439.455
2798.015, 6513.305
2726.805, 6513.305
2726.805, 6529.395
2610.745, 6529.395
2610.745, 6415.245
2312.065, 6415.245
2312.065, 6684.315
2299.365, 6684.315
2299.365, 6749.515
1936.315, 6749.515
1936.315, 6684.315
1559.815, 6684.315
1559.815, 6455.205
1922.175, 6455.205
1922.175, 6359.005
2100.255, 6359.005
2100.255, 6126.285
2278.325, 6126.285
2278.325, 5991.205
2418.775, 5991.205
2418.775, 5808.685
2475.545, 5808.685
2475.545, 5499.425
2498.515, 5499.425
2498.515, 5138.795

Great Chaparral
-1347.165, 2486.685
-1308.165, 2486.685
-1308.165, 1831.575
-933.509, 1831.575
-933.509, 1686.075
-85.268, 1686.075
-85.268, 2865.825
-361.926, 2865.825
-361.926, 2771.455
-624.502, 2771.455
-624.502, 2736.615
-1060.465, 2736.615
-1060.465, 2723.425
-1087.045, 2723.425
-1087.045, 2704.085
-1095.145, 2704.085
-1095.145, 2696.625
-1104.105, 2696.625
-1104.105, 2689.085
-1113.705, 2689.085
-1113.705, 2681.355
-1127.305, 2681.355
-1127.305, 2669.435
-1135.965, 2669.435
-1135.965, 2661.135
-1142.595, 2661.135
-1142.595, 2656.185
-1149.955, 2656.185
-1149.955, 2649.465
-1189.805, 2649.465
-1189.805, 2613.685
-1241.165, 2613.685
-1241.165, 2551.415
-1347.165, 2551.415

Elysian Island
690.467, -3410.485
690.467, -2718.475
505.037, -2718.475
505.037, -2362.945
-277.506, -2362.945
-277.506, -2126.745
-460.891, -2126.745
-460.891, -2754.945
-578.745, -2754.945
-578.745, -2953.595
-460.891, -2953.595
-460.891, -3410.485

Ron Alternates Wind Farm
2452.975, 1175.215
2452.975, 1256.015
2556.555, 1256.015
2556.555, 1760.865
2871.875, 1760.865
2871.875, 1932.765
3017.365, 1932.765
3017.365, 1969.935
3106.705, 1969.935
3106.705, 2014.015
3056.945, 2014.015
3056.945, 2070.665
2993.165, 2070.665
2993.165, 2166.355
3239.515, 2166.355
3239.515, 2458.805
2556.555, 2458.805
2556.555, 2660.995
2152.545, 2660.995
2152.545, 2525.215
1990.845, 2525.215
1990.845, 2403.495
1949.655, 2403.495
1949.655, 2302.255
1902.505, 2302.255
1902.505, 2026.245
1972.725, 2026.245
1972.725, 1355.635
2047.555, 1355.635
2047.555, 1280.535
2129.605, 1280.535
2129.605, 1175.215

Banham Canyon
-2899.795, 203.917
-2899.795, 445.016
-2000.555, 445.016
-2000.555, 1579.025
-2939.795, 1579.025
-2939.795, 1091.015
-2911.325, 1091.015
-2911.325, 813.76
-3151.245, 813.76
-3151.245, 203.917

Tongva Hills
-2667.635, 2026.255
-3133.135, 2026.255
-3133.135, 1579.015
-2000.565, 1579.015
-2000.565, 1299.645
-1576.015, 1299.645
-1576.015, 2328.955
-2337.855, 2328.955
-2337.855, 2223.805
-2667.635, 2223.805

Chiliad Mountain State Wilderness
-1843.725, 4632.925
-1843.725, 4559.695
-300.173, 4559.695
-300.173, 5257.425
-639.424, 5257.425
-639.424, 5257.435
-960.532, 5257.435
-960.532, 5257.425
-967.011, 5257.425
-967.011, 5355.085
-1132.065, 5355.085
-1132.065, 5339.405
-1403.655, 5339.405
-1403.655, 5126.495
-1913.715, 5126.495
-1913.715, 4632.925

El Burro Heights
1767.795, -2718.485
1767.795, -1555.975
1958.795, -1555.975
1958.795, -969.44
1660.005, -969.44
1660.005, -1152.845
1485.915, -1152.845
1485.915, -1391.495
1118.885, -1391.495
1118.885, -1901.455
1485.915, -1901.455
1485.915, -1991.235
1048.535, -1991.235
1048.535, -2718.485

Raton Canyon
-2138.525, 4036.525
-1867.405, 4036.525
-1867.405, 4019.945
-300.173, 4019.945
-300.173, 4559.705
-1843.715, 4559.705
-1843.715, 4632.925
-1744.935, 4632.925
-1744.935, 4731.075
-1913.715, 4731.075
-1913.715, 4632.935
-2012.495, 4632.935
-2012.495, 4534.805
-2138.525, 4534.805

Lago Zancudo
-2797.725, 2812.665
-2797.725, 2347.955
-3015.405, 2347.955
-3015.405, 2026.245
-2667.625, 2026.245
-2667.625, 2223.795
-2337.845, 2223.795
-2337.845, 2276.545
-2270.925, 2276.545
-2270.925, 2309.645
-2229.395, 2309.645
-2229.395, 2322.805
-2087.395, 2322.805
-2087.395, 2328.945
-1308.155, 2328.945
-1308.155, 2486.695
-1347.155, 2486.695
-1347.155, 2562.695
-1379.625, 2562.695
-1379.625, 2592.415
-1241.155, 2592.415
-1241.155, 2628.835
-1347.155, 2628.835
-1347.155, 2692.435
-1374.535, 2692.435
-1374.535, 2677.835
-1456.685, 2677.835
-1456.685, 2675.525
-1550.485, 2675.525
-1550.485, 2701.555
-1618.195, 2701.555
-1618.195, 2698.105
-1674.085, 2698.105
-1674.085, 2726.755
-1756.475, 2726.755
-1756.475, 2714.485
-1763.885, 2714.485
-1763.885, 2704.265
-1768.825, 2704.265
-1768.825, 2689.305
-1780.225, 2689.305
-1780.225, 2679.745
-1922.545, 2679.745
-1922.545, 2697.575
-2238.835, 2697.575
-2238.835, 2812.675
-2381.135, 2812.675
-2381.135, 2826.925
-2527.235, 2826.925
-2527.235, 2841.845
-2548.115, 2841.845
-2548.115, 3294.465
-2747.725, 3294.465
-2747.725, 3094.465
-2921.025, 3094.465
-2921.025, 3213.195
-3020.235, 3213.195
-3020.235, 3545.945
-3099.245, 3545.945
-3099.245, 2812.665

Pacific Bluffs
-2318.775, -477.276
-2130.475, -477.276
-2130.475, -512.701
-2122.915, -512.701
-2122.915, -553.27
-2084.385, -553.27
-2084.385, -579.76
-2009.365, -579.76
-2009.365, -635.692
-1944.665, -635.692
-1944.665, -660.792
-1876.225, -660.792
-1876.225, -407.232
-1556.215, -407.232
-1556.215, -257.255
-1635.465, -257.255
-1635.465, -107.288
-1732.265, -107.288
-1732.265, 3.177
-1876.225, 3.177
-1876.225, 149.077
-1998.225, 149.077
-1998.225, 445.026
-2899.805, 445.026
-2899.805, 203.927
-3059.305, 203.927
-3059.305, -120.331
-2659.555, -120.331
-2659.555, -243.344
-2509.645, -243.344
-2509.645, -335.285
-2318.775, -335.285

Paleto Cove
-2424.275, 5126.485
-1403.645, 5126.485
-1403.645, 5339.395
-1132.055, 5339.395
-1132.055, 5467.275
-906.557, 5467.275
-906.557, 5630.445
-885.956, 5630.445
-885.956, 5772.705
-885.957, 5772.705
-885.957, 5954.805
-977.057, 5954.805
-977.057, 6147.875
-1132.065, 6147.875
-1132.065, 5772.705
-2424.275, 5772.705

Sandy Shores
1295.655, 3455.345
2145.085, 3455.345
2145.085, 3294.455
2693.055, 3294.455
2693.055, 3554.045
2807.765, 3554.045
2807.765, 4036.535
2413.975, 4036.535
2413.975, 3819.505
2145.095, 3819.505
2145.095, 4012.515
1295.655, 4012.515

Grapeseed
2734.725, 4036.525
2734.725, 4417.535
2632.585, 4417.535
2632.585, 4778.175
2561.795, 4778.175
2561.795, 5138.805
2498.525, 5138.805
2498.525, 5269.385
1605.265, 5269.385
1605.265, 4543.615
2413.975, 4543.615
2413.975, 4036.525

Paleto Bay
-39.503, 6006.855
-39.503, 6195.785
66.281, 6195.785
66.281, 6409.335
211.263, 6409.335
211.263, 6518.345
516.843, 6518.345
516.843, 6614.355
617.575, 6614.355
617.575, 6745.775
541.006, 6745.775
541.006, 6785.335
473.722, 6785.335
473.722, 6840.195
430.301, 6840.195
430.301, 6900.545
386.599, 6900.545
386.599, 6949.755
332.09, 6949.755
332.09, 6996.905
277.79, 6996.905
277.79, 7065.805
193.808, 7065.805
193.808, 7165.535
-43.312, 7165.535
-43.312, 6882.585
-103.312, 6882.585
-103.312, 6786.935
-112.836, 6786.935
-112.836, 6744.035
-164.472, 6744.035
-164.472, 6703.235
-202.04, 6703.235
-202.04, 6614.365
-357.767, 6614.365
-357.767, 6477.815
-598.052, 6477.815
-598.052, 6288.885
-680.834, 6288.885
-680.834, 6147.865
-481.009, 6147.865
-481.009, 6006.365
-333.95, 6006.365
-333.95, 6006.855

Paleto Forest
-1132.065, 5355.075
-39.503, 5355.075
-39.503, 6006.865
-333.96, 6006.865
-333.96, 6006.375
-480.999, 6006.375
-480.999, 6147.875
-852.82, 6147.875
-852.82, 6300.735
-1021.005, 6300.735
-1021.005, 6147.865
-977.067, 6147.865
-977.067, 5954.795
-885.967, 5954.795
-885.967, 5630.455
-906.567, 5630.455
-906.567, 5467.285
-1132.065, 5467.285

North Chumash
-2630.885, 3294.455
-2293.405, 3294.455
-2293.405, 4036.525
-2138.515, 4036.525
-2138.515, 4411.245
-1867.395, 4411.245
-1867.395, 4534.805
-2012.485, 4534.805
-2012.485, 5126.495
-2424.275, 5126.495
-2424.275, 4036.535
-2630.885, 4036.535

La Mesa
921.443, -1901.455
1118.895, -1901.455
1118.895, -1391.495
934.145, -1391.495
934.145, -1006.565
888.467, -1006.565
888.467, -820.895
869.704, -820.895
869.704, -511.477
505.027, -511.477
505.027, -1708.335
921.443, -1708.335

Rockford Hills
-1044.205, -407.232
-1044.205, -511.487
-920.6, -511.487
-920.6, -465.304
-521.317, -465.304
-521.317, -511.487
-246.385, -511.487
-246.385, -310.798
-550.207, -310.798
-550.207, -126.816
-594.907, -126.816
-594.907, 13.484
-743.385, 13.484
-743.385, 445.026
-1097.365, 445.026
-1097.365, 225.121
-1108.575, 225.121
-1108.575, 82.476
-1035.495, 82.476
-1035.495, -38.126
-920.61, -38.126
-920.61, -94.217
-1108.565, -94.217
-1108.565, -38.116
-1414.065, -38.116
-1414.065, -107.298
-1379.125, -107.298
-1379.125, -257.265
-1299.885, -257.265
-1299.885, -407.232

Cypress Flats
1048.545, -1901.445
921.453, -1901.445
921.453, -1708.325
505.027, -1708.325
505.027, -2718.485
1048.545, -2718.485

Zancudo River
-1241.165, 2628.825
-1241.165, 2613.675
-1189.795, 2613.675
-1189.795, 2649.455
-1149.945, 2649.455
-1149.945, 2656.175
-1142.585, 2656.175
-1142.585, 2661.125
-1135.955, 2661.125
-1135.955, 2669.425
-1127.295, 2669.425
-1127.295, 2681.345
-1113.695, 2681.345
-1113.695, 2689.075
-1104.095, 2689.075
-1104.095, 2696.615
-1095.135, 2696.615
-1095.135, 2704.075
-1087.035, 2704.075
-1087.035, 2723.415
-1060.455, 2723.415
-1060.455, 2736.605
-624.492, 2736.605
-624.492, 2770.915
-475.695, 2770.915
-475.695, 2771.445
-361.916, 2771.445
-361.916, 2865.815
-85.268, 2865.815
-85.268, 2971.075
86.758, 2971.075
86.758, 3072.645
109.344, 3072.645
109.344, 3110.865
130.202, 3110.865
130.202, 3130.215
207.744, 3130.215
207.744, 3294.735
242.133, 3294.735
242.133, 3480.835
423.963, 3480.835
423.963, 3588.815
242.133, 3588.815
242.133, 3620.715
159.764, 3620.715
159.764, 3537.385
-85.278, 3537.385
-85.278, 3151.345
-475.705, 3151.345
-475.705, 3008.045
-779.502, 3008.045
-779.502, 2914.225
-1098.135, 2914.225
-1098.135, 2880.315
-1241.165, 2880.315
-1241.165, 2794.635
-1347.165, 2794.635
-1347.165, 2628.825

Terminal
1366.355, -3410.485
1366.355, -2718.475
690.457, -2718.475
690.457, -3410.485

Little Seoul
-812.414, -907.79
-812.414, -1019.715
-774.415, -1019.715
-774.415, -1158.025
-573.844, -1158.025
-573.844, -1425.405
-403.51, -1425.405
-403.51, -1158.025
-354.71, -1158.025
-354.71, -723.001
-403.51, -723.001
-403.51, -511.477
-521.307, -511.477
-521.307, -465.294
-920.61, -465.294
-920.61, -511.477
-998.415, -511.477
-998.415, -543.504
-1072.885, -543.504
-1072.885, -576.601
-1127.625, -576.601
-1127.625, -723.011
-931.969, -723.011
-931.969, -849.493
-865.988, -849.493
-865.988, -907.79

Davis Quartz
3321.655, 2458.795
3321.655, 2660.995
3106.765, 2660.995
3106.765, 3039.735
2827.905, 3039.735
2827.905, 3029.215
2611.725, 3029.215
2611.725, 2941.785
2538.155, 2941.785
2538.155, 2660.985
2556.545, 2660.985
2556.545, 2458.795

West Vinewood
48.537, 445.026
-743.395, 445.026
-743.395, 13.474
-246.395, 13.474
-246.395, -20.781
48.537, -20.781

Richman Glen
-1477.015, 641.795
-1477.015, 1299.655
-2000.565, 1299.655
-2000.565, 641.795

Pillbox Hill
199.435, -1158.025
199.435, -877.918
285.435, -877.918
285.435, -573.001
-276.22, -573.001
-276.22, -722.908
-354.72, -722.908
-354.72, -1158.025

La Puerta 1
-460.881, -2135.085
-460.881, -1805.285
-283.91, -1805.285
-283.91, -1425.395
-756.415, -1425.395
-756.415, -1809.195
-1083.415, -1809.195
-1083.415, -1968.605
-756.415, -1968.605
-756.415, -2135.085

Murrieta Heights 2
1485.925, -1391.505
1485.925, -1006.565
1391.075, -1006.565
1391.075, -820.895
888.457, -820.895
888.457, -1006.575
934.135, -1006.575
934.135, -1391.505

Downtown Vinewood
695.874, -20.781
695.874, 445.026
48.527, 445.026
48.527, -20.781

Strawberry
-63.92, -1425.405
-63.92, -1700.535
91.271, -1700.535
91.271, -1425.405
505.037, -1425.405
505.037, -1158.015
-403.52, -1158.015
-403.52, -1425.405

Mirror Park 1
1391.075, -820.905
1391.075, -282.311
869.694, -282.311
869.694, -820.905

Tongva Valley
-1308.155, 1299.645
-1308.155, 2328.955
-1576.025, 2328.955
-1576.025, 1299.645

Richman
-1732.275, 3.167
-1732.275, -107.298
-1414.055, -107.298
-1414.055, 445.026
-1998.235, 445.026
-1998.235, 149.067
-1876.235, 149.067
-1876.235, 3.167

Del Perro
-1748.335, -734.168
-1743.115, -734.168
-1743.115, -787.334
-1681.325, -787.334
-1681.325, -825.775
-1493.035, -825.775
-1493.035, -855.175
-1470.035, -855.175
-1470.035, -867.156
-1358.785, -867.156
-1358.785, -960.493
-1272.765, -960.493
-1272.765, -849.493
-1178.405, -849.493
-1178.405, -723.011
-1127.615, -723.011
-1127.615, -601.424
-1172.245, -601.424
-1172.245, -622.293
-1268.225, -622.293
-1268.225, -511.477
-1299.875, -511.477
-1299.875, -407.222
-1876.235, -407.222
-1876.235, -676.406
-1807.355, -676.406
-1807.355, -684.748
-1797.905, -684.748
-1797.905, -692.251
-1789.075, -692.251
-1789.075, -705.78
-1773.835, -705.78
-1773.835, -711.563
-1767.335, -711.563
-1767.335, -716.911
-1760.935, -716.911
-1760.935, -721.521
-1755.555, -721.521
-1755.555, -727.522
-1748.335, -727.522

Redwood Lights Track
1280.795, 2026.245
1280.795, 2573.935
786.261, 2573.935
786.261, 2026.245

La Puerta 2
-1154.415, -1809.205
-756.405, -1809.205
-756.405, -1425.405
-573.834, -1425.405
-573.834, -1158.015
-774.415, -1158.015
-774.415, -1214.395
-1095.415, -1214.395
-1095.415, -1425.395
-1160.645, -1425.395
-1160.645, -1556.805
-1087.115, -1556.805
-1087.115, -1762.385
-1154.415, -1762.385

Rancho
123.727, -2168.955
505.037, -2168.955
505.037, -2022.575
618.437, -2022.575
618.437, -1515.525
505.037, -1515.525
505.037, -1425.395
359.472, -1425.395
359.472, -1613.155
271.507, -1613.155
271.507, -1761.985
222.393, -1761.985
222.393, -2022.565
123.727, -2022.565

Vespucci Canals
-1202.045, -1287.025
-1202.045, -1389.875
-1182.045, -1389.875
-1182.045, -1425.405
-1095.405, -1425.405
-1095.405, -1214.405
-774.405, -1214.405
-774.405, -1019.705
-812.404, -1019.705
-812.404, -907.78
-865.978, -907.78
-865.978, -849.483
-931.959, -849.483
-931.959, -723.001
-1178.415, -723.001
-1178.415, -849.483
-1272.775, -849.483
-1272.775, -960.483
-1319.775, -960.483
-1319.775, -1074.785
-1284.795, -1074.785
-1284.795, -1174.305
-1249.245, -1174.305
-1249.245, -1237.305
-1232.345, -1237.305
-1232.345, -1287.025

East Vinewood
485.796, -378.608
485.796, -511.487
869.704, -511.487
869.704, -282.321
1391.075, -282.321
1391.075, -178.008
1306.695, -178.008
1306.695, -73.908
951.689, -73.908
951.689, -35.008
695.864, -35.008
695.864, -204.708
588.268, -204.708
588.268, -378.608

Galileo Park
922.973, 1083.295
922.973, 1451.735
358.272, 1451.735
358.272, 1083.295

Banning
505.037, -2168.945
123.737, -2168.945
123.737, -2022.565
-139.742, -2022.565
-139.742, -2168.945
-277.516, -2168.945
-277.516, -2362.955
505.037, -2362.955

Burton
-246.395, -452.987
-49.463, -452.987
-49.463, -20.771
-246.385, -20.771
-246.385, 13.484
-594.917, 13.484
-594.917, -126.826
-550.217, -126.826
-550.217, -310.808
-246.395, -310.808

Vespucci Beach
-1389.735, -1592.715
-1389.735, -1609.455
-1377.785, -1609.455
-1377.785, -1629.225
-1350.035, -1629.225
-1350.035, -1672.605
-1343.035, -1672.605
-1343.035, -1684.985
-1330.865, -1684.985
-1330.865, -1703.395
-1309.975, -1703.395
-1309.975, -1750.205
-1295.625, -1750.205
-1295.625, -1760.385
-1290.055, -1760.385
-1290.055, -1766.965
-1281.405, -1766.965
-1281.405, -1771.185
-1264.955, -1771.185
-1264.955, -1795.445
-1223.375, -1795.445
-1223.375, -1814.745
-1154.415, -1814.745
-1154.415, -1968.605
-1083.405, -1968.605
-1083.405, -1809.195
-1154.405, -1809.195
-1154.405, -1762.395
-1087.105, -1762.395
-1087.105, -1556.795
-1160.635, -1556.795
-1160.635, -1425.395
-1239.035, -1425.395
-1239.035, -1389.865
-1289.135, -1389.865
-1289.135, -1287.015
-1316.585, -1287.015
-1316.585, -1074.775
-1319.765, -1074.775
-1319.765, -960.483
-1406.775, -960.483
-1406.775, -1072.345
-1475.915, -1072.345
-1475.915, -1125.385
-1436.055, -1125.385
-1436.055, -1162.075
-1582.035, -1162.075
-1582.035, -1199.605
-1567.965, -1199.605
-1567.965, -1215.005
-1549.015, -1215.005
-1549.015, -1236.855
-1533.685, -1236.855
-1533.685, -1258.175
-1521.155, -1258.175
-1521.155, -1301.185
-1488.095, -1301.185
-1488.095, -1401.265
-1454.855, -1401.265
-1454.855, -1473.425
-1437.045, -1473.425
-1437.045, -1521.365
-1423.605, -1521.365
-1423.605, -1546.985
-1406.775, -1546.985
-1406.775, -1556.805
-1397.775, -1556.805
-1397.775, -1592.715

Del Perro Beach
-1883.635, -1291.835
-1782.215, -1291.835
-1782.215, -1188.665
-1754.955, -1188.665
-1754.955, -1152.115
-1721.655, -1152.115
-1721.655, -1179.285
-1638.985, -1179.285
-1638.985, -1144.455
-1608.215, -1144.455
-1608.215, -1162.085
-1436.045, -1162.085
-1436.045, -1125.375
-1475.905, -1125.375
-1475.905, -1072.355
-1406.765, -1072.355
-1406.765, -960.493
-1358.775, -960.493
-1358.775, -867.146
-1470.025, -867.146
-1470.025, -855.165
-1493.025, -855.165
-1493.025, -825.765
-1681.315, -825.765
-1681.315, -787.324
-1743.105, -787.324
-1743.105, -734.158
-1748.325, -734.158
-1748.325, -727.512
-1755.545, -727.512
-1755.545, -721.511
-1760.925, -721.511
-1760.925, -716.901
-1767.325, -716.901
-1767.325, -711.553
-1773.825, -711.553
-1773.825, -705.77
-1789.065, -705.77
-1789.065, -692.241
-1797.895, -692.241
-1797.895, -684.738
